teamId,visitingTeamFinalScore,homeTeamFinalScore,total_points
200,23.0625,23.225806451612904,23.144153225806452
325,17.349206349206348,20.741935483870968,19.045570916538658
610,20.459016393442624,20.741935483870968,20.600475938656796
750,20.92063492063492,24.571428571428573,22.746031746031747
810,20.770491803278688,23.066666666666666,21.918579234972675
920,21.704918032786885,21.80327868852459,21.75409836065574
1050,22.183333333333334,24.233333333333334,23.208333333333336
1200,21.84375,20.295081967213115,21.069415983606557
1400,19.0625,20.278688524590162,19.670594262295083
1540,22.1,22.403225806451612,22.251612903225805
1800,19.444444444444443,24.46969696969697,21.957070707070706
2100,22.389830508474578,22.815384615384616,22.602607561929595
2120,19.49206349206349,23.596774193548388,21.54441884280594
2200,20.616666666666667,25.296875,22.956770833333334
2250,20.75409836065574,24.14516129032258,22.44962982548916
2310,18.208955223880597,22.532258064516128,20.37060664419836
2510,21.761904761904763,22.065573770491802,21.913739266198284
2520,24.6,24.81967213114754,24.70983606557377
2700,23.55,25.459016393442624,24.50450819672131
3000,17.73015873015873,20.07936507936508,18.904761904761905
3200,18.485714285714284,19.0,18.74285714285714
3300,25.046875,22.37704918032787,23.711962090163937
3410,23.583333333333332,24.14516129032258,23.864247311827956
3430,21.266666666666666,24.383333333333333,22.825
3700,18.49206349206349,24.61904761904762,21.555555555555557
3800,21.262295081967213,23.88888888888889,22.57559198542805
3900,20.984126984126984,20.8125,20.898313492063494
4400,21.016666666666666,22.741935483870968,21.879301075268817
4500,21.322580645161292,25.229508196721312,23.276044420941304
4600,20.078125,19.227272727272727,19.652698863636363
4900,23.133333333333333,26.05,24.59166666666667
5110,23.16393442622951,23.933333333333334,23.54863387978142
