playId,playerId,gameId,season,week,gameDate,homeTeamId,visitorTeamId,seasonType,winningTeam
10001276,20130103,56408,2014,16,2014-12-21,3800,4600,REG,4600
10001310,20090496,56408,2014,16,2014-12-21,3800,4600,REG,4600
10001310,20090496,56408,2014,16,2014-12-21,3800,4600,REG,4600
10001310,20090496,56408,2014,16,2014-12-21,3800,4600,REG,4600
10001322,20130239,56408,2014,16,2014-12-21,3800,4600,REG,4600
10001322,20130239,56408,2014,16,2014-12-21,3800,4600,REG,4600
10001322,20130239,56408,2014,16,2014-12-21,3800,4600,REG,4600
10001462,20130757,56213,2014,3,2014-09-21,3800,4500,REG,3800
10001462,20130757,56213,2014,3,2014-09-21,3800,4500,REG,3800
10001462,20130757,56213,2014,3,2014-09-21,3800,4500,REG,3800
10001539,20050645,56358,2014,13,2014-11-30,200,3800,REG,200
10001539,20050645,56358,2014,13,2014-11-30,200,3800,REG,200
10001539,20050645,56358,2014,13,2014-11-30,200,3800,REG,200
10001695,20140060,56410,2014,17,2014-12-28,200,750,REG,750
10001695,20140060,56410,2014,17,2014-12-28,200,750,REG,750
10001695,20140060,56410,2014,17,2014-12-28,200,750,REG,750
10001703,20070083,56410,2014,17,2014-12-28,200,750,REG,750
10001703,20070083,56410,2014,17,2014-12-28,200,750,REG,750
10001703,20070083,56410,2014,17,2014-12-28,200,750,REG,750
10001725,20130738,56410,2014,17,2014-12-28,200,750,REG,750
10001725,20130738,56410,2014,17,2014-12-28,200,750,REG,750
10001725,20130738,56410,2014,17,2014-12-28,200,750,REG,750
10001735,20130415,56410,2014,17,2014-12-28,200,750,REG,750
10001735,20130415,56410,2014,17,2014-12-28,200,750,REG,750
10001735,20130415,56410,2014,17,2014-12-28,200,750,REG,750
10001772,20130014,56410,2014,17,2014-12-28,200,750,REG,750
10001772,20130014,56410,2014,17,2014-12-28,200,750,REG,750
10001772,20130014,56410,2014,17,2014-12-28,200,750,REG,750
10001775,20130014,56410,2014,17,2014-12-28,200,750,REG,750
10001775,20130014,56410,2014,17,2014-12-28,200,750,REG,750
10001775,20130014,56410,2014,17,2014-12-28,200,750,REG,750
10001814,20120164,56247,2014,6,2014-10-12,200,810,REG,810
10001814,20120164,56247,2014,6,2014-10-12,200,810,REG,810
10001814,20120164,56247,2014,6,2014-10-12,200,810,REG,810
10001842,20110053,56247,2014,6,2014-10-12,200,810,REG,810
10001842,20110053,56247,2014,6,2014-10-12,200,810,REG,810
10001842,20110053,56247,2014,6,2014-10-12,200,810,REG,810
10001865,20100249,56247,2014,6,2014-10-12,200,810,REG,810
10001865,20100249,56247,2014,6,2014-10-12,200,810,REG,810
10001865,20100249,56247,2014,6,2014-10-12,200,810,REG,810
10001931,20040126,56247,2014,6,2014-10-12,200,810,REG,810
10001931,20040126,56247,2014,6,2014-10-12,200,810,REG,810
10001931,20040126,56247,2014,6,2014-10-12,200,810,REG,810
10001944,20100213,56247,2014,6,2014-10-12,200,810,REG,810
10001944,20100213,56247,2014,6,2014-10-12,200,810,REG,810
10001944,20100213,56247,2014,6,2014-10-12,200,810,REG,810
10001951,20100213,56247,2014,6,2014-10-12,200,810,REG,810
10001951,20100213,56247,2014,6,2014-10-12,200,810,REG,810
10001951,20100213,56247,2014,6,2014-10-12,200,810,REG,810
10001999,20080190,56332,2014,12,2014-11-23,200,1050,REG,1050
10001999,20080190,56332,2014,12,2014-11-23,200,1050,REG,1050
10001999,20080190,56332,2014,12,2014-11-23,200,1050,REG,1050
10002013,20090057,56332,2014,12,2014-11-23,200,1050,REG,1050
10002013,20090057,56332,2014,12,2014-11-23,200,1050,REG,1050
10002013,20090057,56332,2014,12,2014-11-23,200,1050,REG,1050
10002062,20080154,56332,2014,12,2014-11-23,200,1050,REG,1050
10002062,20080154,56332,2014,12,2014-11-23,200,1050,REG,1050
10002062,20080154,56332,2014,12,2014-11-23,200,1050,REG,1050
10002070,20090057,56332,2014,12,2014-11-23,200,1050,REG,1050
10002070,20090057,56332,2014,12,2014-11-23,200,1050,REG,1050
10002070,20090057,56332,2014,12,2014-11-23,200,1050,REG,1050
10002230,20080054,56277,2014,8,2014-10-26,200,1540,REG,1540
10002230,20080054,56277,2014,8,2014-10-26,200,1540,REG,1540
10002230,20080054,56277,2014,8,2014-10-26,200,1540,REG,1540
10002258,20130005,56277,2014,8,2014-10-26,200,1540,REG,1540
10002258,20130005,56277,2014,8,2014-10-26,200,1540,REG,1540
10002258,20130005,56277,2014,8,2014-10-26,200,1540,REG,1540
10002429,20140139,56433,2014,1,2014-08-08,200,2700,PRE,200
10002429,20140139,56433,2014,1,2014-08-08,200,2700,PRE,200
10002429,20140139,56433,2014,1,2014-08-08,200,2700,PRE,200
10002601,20120680,56171,2014,1,2014-09-07,200,3300,REG,200
10002601,20120680,56171,2014,1,2014-09-07,200,3300,REG,200
10002601,20120680,56171,2014,1,2014-09-07,200,3300,REG,200
10002671,20070108,56379,2014,15,2014-12-14,200,3900,REG,3900
10002671,20070108,56379,2014,15,2014-12-14,200,3900,REG,3900
10002671,20070108,56379,2014,15,2014-12-14,200,3900,REG,3900
10002856,20120164,56202,2014,3,2014-09-18,200,4900,REG,200
10002856,20120164,56202,2014,3,2014-09-18,200,4900,REG,200
10002856,20120164,56202,2014,3,2014-09-18,200,4900,REG,200
10002868,20100083,56202,2014,3,2014-09-18,200,4900,REG,200
10002868,20100083,56202,2014,3,2014-09-18,200,4900,REG,200
10002868,20100083,56202,2014,3,2014-09-18,200,4900,REG,200
10002953,20130153,56202,2014,3,2014-09-18,200,4900,REG,200
10002953,20130153,56202,2014,3,2014-09-18,200,4900,REG,200
10002953,20130153,56202,2014,3,2014-09-18,200,4900,REG,200
10002985,20130435,56490,2014,3,2014-08-23,200,2100,PRE,2100
10002985,20130435,56490,2014,3,2014-08-23,200,2100,PRE,2100
10002985,20130435,56490,2014,3,2014-08-23,200,2100,PRE,2100
10002996,20090115,56490,2014,3,2014-08-23,200,2100,PRE,2100
10002996,20090115,56490,2014,3,2014-08-23,200,2100,PRE,2100
10002996,20090115,56490,2014,3,2014-08-23,200,2100,PRE,2100
10003004,20130060,56490,2014,3,2014-08-23,200,2100,PRE,2100
10003004,20130060,56490,2014,3,2014-08-23,200,2100,PRE,2100
10003004,20130060,56490,2014,3,2014-08-23,200,2100,PRE,2100
10003057,20110077,56490,2014,3,2014-08-23,200,2100,PRE,2100
10003057,20110077,56490,2014,3,2014-08-23,200,2100,PRE,2100
10003057,20110077,56490,2014,3,2014-08-23,200,2100,PRE,2100
10003077,20140037,56490,2014,3,2014-08-23,200,2100,PRE,2100
10003077,20140037,56490,2014,3,2014-08-23,200,2100,PRE,2100
10003077,20140037,56490,2014,3,2014-08-23,200,2100,PRE,2100
10003155,20110165,56262,2014,7,2014-10-19,325,200,REG,325
10003155,20110165,56262,2014,7,2014-10-19,325,200,REG,325
10003155,20110165,56262,2014,7,2014-10-19,325,200,REG,325
10003177,20130435,56262,2014,7,2014-10-19,325,200,REG,325
10003177,20130435,56262,2014,7,2014-10-19,325,200,REG,325
10003177,20130435,56262,2014,7,2014-10-19,325,200,REG,325
10003181,20110165,56262,2014,7,2014-10-19,325,200,REG,325
10003181,20110165,56262,2014,7,2014-10-19,325,200,REG,325
10003181,20110165,56262,2014,7,2014-10-19,325,200,REG,325
10003199,20060126,56262,2014,7,2014-10-19,325,200,REG,325
10003199,20060126,56262,2014,7,2014-10-19,325,200,REG,325
10003199,20060126,56262,2014,7,2014-10-19,325,200,REG,325
10003222,20060126,56262,2014,7,2014-10-19,325,200,REG,325
10003222,20060126,56262,2014,7,2014-10-19,325,200,REG,325
10003222,20060126,56262,2014,7,2014-10-19,325,200,REG,325
10003271,20030010,56262,2014,7,2014-10-19,325,200,REG,325
10003271,20030010,56262,2014,7,2014-10-19,325,200,REG,325
10003271,20030010,56262,2014,7,2014-10-19,325,200,REG,325
10003365,20060126,56219,2014,4,2014-09-28,325,750,REG,325
10003365,20060126,56219,2014,4,2014-09-28,325,750,REG,325
10003365,20060126,56219,2014,4,2014-09-28,325,750,REG,325
10003536,20100054,56172,2014,1,2014-09-07,325,920,REG,920
10003536,20100054,56172,2014,1,2014-09-07,325,920,REG,920
10003536,20100054,56172,2014,1,2014-09-07,325,920,REG,920
10003624,20080626,56172,2014,1,2014-09-07,325,920,REG,920
10003624,20080626,56172,2014,1,2014-09-07,325,920,REG,920
10003624,20080626,56172,2014,1,2014-09-07,325,920,REG,920
10003670,20110165,56411,2014,17,2014-12-28,325,1050,REG,325
10003670,20110165,56411,2014,17,2014-12-28,325,1050,REG,325
10003670,20110165,56411,2014,17,2014-12-28,325,1050,REG,325
10003691,20030010,56411,2014,17,2014-12-28,325,1050,REG,325
