playerId,nameFull,position,collegeId,college,ageAtDraft
19770105,Jerry Anderson,DB,73019,Oklahoma,23.531506849315072
19770106,Dan Audick,OT,96813,Hawaii,22.47945205479452
19770108,Guy Brown,LB,77006,Houston,21.936986301369863
19770109,Gerald Skinner,OT,72701,Arkansas,22.65479452054794
19770110,Mickey Sims,DT,29117,South Carolina State,22.17808219178082
19770115,Fred Besana,QB,94720,California,23.16712328767123
19770116,Perry Griggs,WR,36082,Troy (AL),22.641095890410963
19770117,Randy Dean,QB,60208,Northwestern,21.912328767123288
19770118,Dave Lafary,OT,47906,Purdue,22.317808219178087
19770120,Shelton Diggs,WR,90089,USC,22.04383561643836
19770122,Nate Simpson,RB,37209,Tennessee State,22.43835616438357
19770123,Leroy Harris,RB,72401,Arkansas State,22.849315068493148
19770124,Clarence Williams,RB,29208,South Carolina,22.28493150684932
19770127,Neil O'Donoghue,K,36849,Auburn,24.304109589041094
19770128,Cliff Olander,QB,88003,New Mexico State,21.98356164383561
19770133,Ray Phillips,LB,68588,Nebraska,23.14246575342466
19770135,Andy Spiva,LB,37998,Tennessee,22.252054794520546
19770139,Jeff Barnes,LB,94720,California,22.189041095890413
19770140,Vince Evans,QB,90089,USC,21.901369863013702
19770141,Mike Burns,DB,90089,USC,23.09041095890411
19770142,Tony Benjamin,RB,27708,Duke,21.531506849315072
19770144,Joe Klecko,DT,19122,Temple,23.56438356164384
19770146,Dave Lindstrom,DE,2215,Boston,22.476712328767125
19770147,Cliff Parsley,P,74078,Oklahoma State,22.367123287671234
19770151,Larry Barnes,RB,37209,Tennessee State,22.810958904109587
19770152,Pete Shaw,DB,60208,Northwestern,22.704109589041096
19770155,Jim Harlan,OT,76801,Howard Payne,22.901369863013702
19770156,Art Best,RB,44242,Kent State (OH),24.14246575342466
19770159,Paul Harris,LB,35487,Alabama,22.38630136986301
19770163,Calvin O'Neal,LB,48109,Michigan,22.589041095890412
19770165,David Carter,C,42101,Western Kentucky,23.446575342465753
19770169,David Sims,RB,30332,Georgia Tech,21.534246575342465
19770170,Mike Nelms,DB,76706,Baylor,22.08493150684932
19770171,Bob Grupp,P,27708,Duke,22.002739726027396
19770172,Derrel Gofourth,OG,74078,Oklahoma State,22.136986301369863
19770174,Greg Boykin,RB,60208,Northwestern,23.416438356164388
19770175,Charlie Johnson,DT,80309,Colorado,25.224657534246568
19770177,Chris Golub,DB,66045,Kansas,22.432876712328767
19770178,Al Dixon,TE,50011,Iowa State,23.093150684931512
19770179,Tim Black,LB,76706,Baylor,22.34520547945205
19770182,Gerald Butler,WR,70301,Nicholls State (LA),22.926027397260274
19770184,Blane Smith,LB,47906,Purdue,22.82191780821918
