playerId,nameFull,position,teamId,gameId,fumbles,interceptions,sacks,#players-pos-league,#games-pos-league,#fumbles-pos-league,#int-pos-league,#sacks-pos-league
20110019.0,Prince Amukamara,DB,3410.0,110.0,,6.0,,1104.0,51097.0,283.0,3715.0,841.0
20100111.0,Walter Thurmond,DB,3410.0,14.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20100525.0,Ross Weaver,DB,3410.0,8.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20100015.0,Jason Pierre-Paul,DE,3410.0,122.0,,1.0,85.0,608.0,37394.0,2.0,217.0,9197.0
20060032.0,Mathias Kiwanuka,DE,3410.0,32.0,,,8.0,608.0,37394.0,2.0,217.0,9197.0
20140824.0,Kelcy Quarles,DT,3410.0,12.0,,,4.0,580.0,37418.0,2.0,88.0,3901.0
20080016.0,Dominique Rodgers-Cromartie,DB,3410.0,106.0,,8.0,4.0,1104.0,51097.0,283.0,3715.0,841.0
20120163.0,Terrell Manning,LB,3410.0,10.0,,,,867.0,41106.0,32.0,874.0,4707.0
20140676.0,Dan Fox,LB,3410.0,10.0,,,,867.0,41106.0,32.0,874.0,4707.0
20050008.0,Antrel Rolle,S,3410.0,42.0,,6.0,,411.0,26572.0,92.0,1926.0,775.0
20030700.0,Cullen Jenkins,DT,3410.0,34.0,,,4.0,580.0,37418.0,2.0,88.0,3901.0
20100251.0,Stevie Brown,DB,3410.0,38.0,,2.0,2.0,1104.0,51097.0,283.0,3715.0,841.0
20140675.0,Emmanuel Dieke,DE,3410.0,8.0,,,,608.0,37394.0,2.0,217.0,9197.0
20140815.0,Thomas Gordon,S,3410.0,10.0,,,,411.0,26572.0,92.0,1926.0,775.0
20130229.0,Everett Dawkins,DT,3410.0,8.0,,,,580.0,37418.0,2.0,88.0,3901.0
20140677.0,C.J. Barnett,S,3410.0,6.0,,,,411.0,26572.0,92.0,1926.0,775.0
20120733.0,Chandler Fenner,DB,3410.0,14.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20140847.0,Kyle Sebetic,S,3410.0,4.0,,,,411.0,26572.0,92.0,1926.0,775.0
20130191.0,Bacarri Rambo,S,5110.0,22.0,,4.0,,411.0,26572.0,92.0,1926.0,775.0
20120180.0,Trenton Robinson,DB,5110.0,26.0,,2.0,,1104.0,51097.0,283.0,3715.0,841.0
20130499.0,Will Compton,LB,5110.0,95.0,,4.0,,867.0,41106.0,32.0,874.0,4707.0
20140102.0,Bashaud Breeland,DB,5110.0,140.0,,13.0,,1104.0,51097.0,283.0,3715.0,841.0
20110231.0,Frank Kearse,DT,5110.0,38.0,,,10.0,580.0,37418.0,2.0,88.0,3901.0
20110140.0,Gabe Miller,LB,5110.0,12.0,,,4.0,867.0,41106.0,32.0,874.0,4707.0
20120496.0,Chase Minnifield,DB,5110.0,14.0,,,2.0,1104.0,51097.0,283.0,3715.0,841.0
20070711.0,Akeem Jordan,LB,5110.0,8.0,,,,867.0,41106.0,32.0,874.0,4707.0
20140047.0,Trent Murphy,OLB,5110.0,79.0,,2.0,24.0,127.0,7804.0,4.0,131.0,1229.0
20090217.0,E.J. Biggers,DB,5110.0,36.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20090043.0,Everette Brown,DE,5110.0,20.0,,,2.0,608.0,37394.0,2.0,217.0,9197.0
20120213.0,Richard Crawford,DB,5110.0,8.0,,,,1104.0,51097.0,283.0,3715.0,841.0
20060196.0,Kedric Golston,DT,5110.0,30.0,,,,580.0,37418.0,2.0,88.0,3901.0
