playerId,teamId,draftTradeValue
19770293,1540,0.0
19770294,810,0.0
19770295,4500,0.0
19770296,1050,0.0
19770297,1400,0.0
19770298,3900,0.0
19770299,920,0.0
19770300,5110,0.0
19770301,2510,0.0
19770302,2510,0.0
19770303,3200,0.0
19770304,325,0.0
19770305,1200,0.0
19770306,3000,0.0
19770307,3430,0.0
19770308,4900,0.0
19770309,610,0.0
19770310,3900,0.0
19770311,3410,0.0
19770312,3430,0.0
19770313,3430,0.0
19770314,200,0.0
19770315,3300,0.0
19770316,2100,0.0
19770317,2520,0.0
19770318,2310,0.0
19770319,4400,0.0
19770320,1540,0.0
19770321,2700,0.0
19770322,810,0.0
19770323,4500,0.0
19770324,1400,0.0
19770325,1050,0.0
19770326,920,0.0
19770327,5110,0.0
19770328,2510,0.0
19770329,4600,0.0
19770330,2510,0.0
19770331,325,0.0
19770332,1200,0.0
19770333,3200,0.0
19770334,2520,0.0
19770335,3000,0.0
19780001,2100,3000.0
19780002,2310,2600.0
19780003,3300,2200.0
19780004,3430,1800.0
19780005,610,1700.0
19780006,1800,1600.0
19780007,4500,1500.0
19780008,920,1400.0
19780009,4600,1350.0
19780010,3410,1300.0
19780011,1540,1250.0
19780012,1050,1200.0
19780013,200,1150.0
19780014,4400,1100.0
19780015,2510,1050.0
19780016,920,1000.0
19780017,4900,950.0
19780018,3200,900.0
19780019,2510,875.0
19780020,2510,850.0
19780021,3000,800.0
19780022,3900,780.0
19780023,1050,760.0
19780024,4500,740.0
19780025,325,720.0
19780026,1800,700.0
19780027,1400,680.0
19780028,1200,660.0
19780029,2310,640.0
19780030,4900,620.0
19780031,3430,600.0
19780032,610,590.0
19780033,3300,580.0
19780034,1800,560.0
19780035,920,550.0
19780036,4600,540.0
19780037,3410,530.0
19780038,610,520.0
19780039,1050,510.0
19780040,1540,500.0
19780041,4400,490.0
19780042,2510,480.0
19780043,200,470.0
19780044,4900,460.0
19780045,920,450.0
19780046,2510,440.0
19780047,4500,430.0
19780048,3000,420.0
19780049,3900,410.0
19780050,3200,400.0
19780051,2700,390.0
19780052,325,380.0
19780053,2510,370.0
19780054,2520,360.0
19780055,1400,350.0
19780056,1200,340.0
19780057,2520,330.0
19780058,2310,320.0
19780059,610,310.0
19780060,3300,300.0
19780061,3430,292.0
19780062,1800,284.0
19780063,4600,276.0
19780064,2700,270.0
19780065,610,265.0
19780066,3700,260.0
19780067,1050,255.0
19780068,1050,250.0
19780069,2510,245.0
19780070,200,240.0
19780071,4400,235.0
19780072,920,230.0
19780073,2100,225.0
19780074,810,220.0
19780075,3000,215.0
19780076,3900,210.0
19780077,3200,205.0
19780078,2510,200.0
19780079,4500,195.0
19780080,2510,190.0
19780081,2700,185.0
19780082,2520,180.0
19780083,920,175.0
19780084,1200,170.0
19780085,2310,165.0
19780086,2520,160.0
19780087,3300,155.0
19780088,3430,150.0
19780089,610,145.0
19780090,3410,140.0
19780091,4500,136.0
19780092,3700,132.0
19780093,2700,128.0
19780094,1540,124.0
19780095,200,120.0
19780096,2510,116.0
19780097,2510,112.0
19780098,2100,108.0
19780099,920,104.0
19780100,3000,100.0
19780101,3900,96.0
19780102,3200,92.0
19780103,1050,88.0
19780104,2310,86.0
19780105,2510,84.0
19780106,2700,82.0
19780107,1540,80.0
19780108,2520,78.0
19780109,1540,76.0
19780110,1200,74.0
19780111,2700,72.0
19780112,2310,70.0
19780113,3430,68.0
19780114,610,66.0
19780115,3300,64.0
19780116,1800,62.0
19780117,325,60.0
19780118,2310,58.0
19780119,4600,56.0
19780120,3410,54.0
19780121,1540,52.0
19780122,1050,50.0
19780123,1540,49.0
19780124,2510,48.0
19780125,200,47.0
19780126,920,46.0
19780127,4500,45.0
19780128,1800,44.0
19780129,3200,43.0
19780130,3700,42.0
19780131,920,41.0
19780132,3410,40.0
19780133,4500,39.5
19780134,2310,39.0
19780135,4400,38.5
