playId,teamId,playerId,fumForcedPosition,fumForcedTurnover,fumForcedNull
8015430,5110,20070055,CB,1,0
8015668,325,20030010,OLB,0,0
8015689,325,20110165,DE,1,0
8016110,1400,20050216,DE,1,0
8016182,2310,20100050,CB,1,0
8016321,1400,20120036,DT,0,1
8016341,1400,20080407,ILB,0,0
8016345,3300,20120089,DT,1,0
8016395,3300,20100032,CB,0,0
8016636,1400,20060126,DE,0,0
8016657,3900,20020128,ILB,1,0
8016861,4400,20100110,S,0,0
8016867,4400,20100079,ILB,1,0
8016899,1400,20110002,SLB,0,0
8016916,1400,20110002,SLB,1,0
8016985,1400,20060126,DE,0,0
8017031,4600,20110635,SS,1,0
8017071,1400,20110204,TE,1,0
8017204,4500,20100737,DT,0,0
8017281,1400,20120137,DE,0,0
8017472,1400,20110002,SLB,0,0
8017507,200,20100083,DT,1,0
8017551,200,20000013,DE,1,0
8017679,1540,20090506,LB,1,0
8017763,610,20110169,LB,0,0
8017800,610,20120835,S,0,0
8017860,810,20120826,WR,1,0
8017897,810,20030608,DE,1,0
8017988,1540,20060116,LB,0,0
8018014,1540,20100213,DE,1,0
8018258,1800,20120626,LB,1,0
8018268,1540,20110013,DT,0,0
8018324,1540,20090506,LB,0,0
8018430,1540,20080092,DE,0,0
8018526,2120,20060042,FS,1,0
8018706,1540,20080092,DE,0,0
8018866,3000,20090231,S,1,0
8019083,1540,20070041,CB,1,0
8019193,1540,20040179,DT,0,0
8019310,3800,20000443,LB,0,0
8019404,1800,20120062,CB,0,0
8019526,810,20030035,CB,1,0
8019575,1800,19980004,DB,1,0
8019601,1050,20020059,DB,1,0
8019763,1540,20080028,DE,1,0
8019812,1540,20110013,DT,0,0
8019944,1800,20090218,LB,1,0
8019987,2250,20120038,DE,1,0
8019999,2250,20090486,LB,1,1
8020005,1800,20100071,S,0,0
8020091,2310,20040223,DB,0,0
8020512,1800,20090026,LB,1,0
8020770,1800,19980004,DB,0,0
8021118,2120,20120026,OLB,0,0
8021139,325,20070168,CB,0,0
8021407,2120,20120026,OLB,1,0
8021804,2120,20110011,DE,1,0
8021931,2120,20060042,FS,1,0
8021943,2250,20050191,DL,0,0
8022013,2250,20070034,LB,1,0
8022151,2120,20090015,ILB,0,0
8022208,2120,20090112,SS,1,0
8022498,3000,20090150,LB,1,0
8022555,2120,20110011,DE,1,0
8022611,3000,20120029,S,1,0
8022812,2120,20070237,CB,0,0
8022896,2120,20040135,DE,1,0
8023030,610,20120010,CB,0,0
8023071,610,20080224,WR,1,0
8023224,2200,20090230,ILB,1,0
8023391,1050,20020059,DB,1,0
8023467,1800,20090026,LB,0,0
8023787,2200,20030138,OLB,0,0
8023974,2700,20100163,S,0,0
8024003,2200,20020011,OLB,0,0
8024054,2700,20050454,DE,0,0
8024175,2200,20080478,ILB,1,0
8024400,2510,20120444,S,0,0
8024508,2100,20070164,LB,0,0
8024755,200,20110230,DE,0,0
8024842,810,20100109,DE,1,0
8025029,2250,20060191,DL,1,0
8025077,2250,20060191,DL,0,0
8025460,2200,20090230,ILB,1,0
8025533,2250,20100153,DE,1,0
8025788,3410,20110019,CB,1,0
8025808,3410,20100184,DE,1,0
8025904,3410,20110402,DT,0,1
8025973,2250,20040027,DE,1,0
8025986,2250,20090073,CB,1,0
8026264,2250,20070034,LB,0,0
8026409,2310,20110538,DL,0,0
8026460,2310,20050038,CB,0,0
8026532,200,20000013,DE,1,0
8026606,325,20100157,DT,0,0
8026669,2310,20040540,WR,1,0
8026816,2310,20100729,LB,0,0
8026922,920,20100120,DT,0,0
8026925,920,20100120,DT,1,0
8026964,2310,20050015,LB,0,0
8027188,1400,20040420,FS,0,0
8027230,2310,20080558,DE,0,0
8027285,2200,20100063,ILB,1,0
8027405,2520,20100008,LB,0,0
8027563,4400,20110018,DE,1,0
8027586,4400,20040098,OLB,0,0
8027595,4400,20090113,DT,1,0
8027667,4400,20020005,CB,1,0
8027814,4600,20120759,DE,1,0
8027940,200,20000013,DE,0,0
8028118,610,20090042,S,0,0
8028131,2700,20050042,LB,1,0
8028148,2700,20050454,DE,1,0
8028255,2250,20040027,DE,1,0
8028406,3200,20100247,DL,0,0
8028429,3200,20080010,LB,0,0
8028430,3200,20080169,LB,1,0
8028509,3200,20080598,CB,0,0
8028624,3430,20070014,CB,1,0
8029081,2700,20050573,LS,0,0
8029127,2700,20110235,S,1,0
8029186,2510,20080413,LB,0,0
8029393,2100,20090203,CB,1,0
8029546,3000,20090097,LB,0,0
8029560,3000,20070102,DE,1,0
8029727,3000,20100034,CB,0,0
