playId,teamId,playerId,intPosition,int,intYards,intTd,intNull
10013211,1050,20110137,DB,1,-2,0,0
10013302,1050,20060008,DB,1,54,0,0
10013320,4900,20130043,CB,1,18,0,0
10013322,1050,20120463,DB,1,12,0,0
10013390,4900,20090249,DT,1,3,0,0
10013433,1200,20140875,CB,1,58,1,0
10013520,3800,20130069,S,1,9,0,0
10013560,3800,20060019,CB,1,7,0,0
10013649,325,20130609,CB,1,0,0,0
10013785,1400,20090411,CB,1,0,0,0
10013992,1200,20120113,LB,1,5,0,0
10014083,1200,20080143,CB,1,2,0,0
10014179,2120,20100136,S,1,5,0,0
10014316,1200,20130080,S,1,46,0,0
10014319,1200,20140119,LB,1,8,0,0
10014444,1200,20070048,LB,1,1,0,0
10014603,3410,20110019,CB,1,38,0,0
10014828,3700,20080229,CB,1,0,0,0
10014867,3700,20100037,S,1,1,0,0
10014903,4500,20130018,S,1,48,0,0
10014918,4500,20070011,LB,1,0,0,0
10014936,4500,20100137,CB,1,0,0,0
10015062,1200,20130080,S,1,0,0,0
10015242,3800,20090092,CB,1,1,0,0
10015264,3800,20080050,DE,1,23,0,0
10015417,610,20070168,CB,1,30,0,0
10015457,1400,20120142,LB,1,0,0,0
10015461,610,20120010,CB,1,27,0,0
10015470,1400,20110460,CB,1,38,0,0
10015577,2120,20130717,DB,1,1,0,0
10015657,2120,20120849,SS,1,10,0,0
10015728,1400,20110045,S,1,15,0,0
10015854,1400,20110045,S,1,2,0,0
10015963,1400,20140031,CB,1,2,0,0
10016000,1400,20110045,S,1,0,0,0
10016360,1400,20100038,S,1,37,0,0
10016556,1400,20120187,S,1,5,0,0
10016637,1400,20110460,CB,1,1,0,0
10016706,1400,20110045,S,1,0,0,0
10016834,4600,20100517,CB,1,11,0,0
10016868,1400,20120478,LB,1,27,0,0
10016965,1400,20080020,CB,1,3,0,0
10017080,1540,20030039,CB,1,41,1,0
10017089,610,20120010,CB,1,21,0,0
10017353,1540,20090112,S,1,0,0,0
10017381,1540,20070737,S,1,0,0,0
10017547,1540,20110739,S,1,5,0,0
10017580,1800,20140021,S,1,9,0,0
10017596,1800,20110131,CB,1,0,0,0
10017726,2250,20120038,DE,1,21,0,0
10017832,1540,20090592,LB,1,2,0,0
10017849,1540,20120196,CB,1,2,0,0
10017918,1540,20070737,S,1,70,0,0
10017919,2700,20060758,CB,1,0,0,0
10018083,1540,20090112,S,1,56,0,0
10018089,1540,20130036,CB,1,2,0,0
10018200,3300,20090096,CB,1,0,0,0
10018301,3300,20130015,S,1,45,0,0
10018323,1540,20090112,S,1,23,0,0
10018428,1540,20090076,LB,1,13,0,0
