playerId,nameFull,position,collegeId,college,heightInches,weight,ageAtDraft
20170055,Dalvin Tomlinson,DT,35487,Alabama,75.0,317.0,23
20170426,Alek Torgersen,QB,19104,Penn,74.0,229.0,22
20170948,Jon Toth,C,40506,Kentucky,77.0,308.0,23
20170677,Damarius Travis,DB,55455,Minnesota,74.0,215.0,23
20170002,Mitchell Trubisky,QB,27599,North Carolina,75.0,222.0,22
20170223,Stevie Tu'ikolovatu,DT,90089,USC,73.0,320.0,25
20170499,Josh Tupou,DT,80309,Colorado,75.0,350.0,23
20170187,Mike Tyson,S,45221,Cincinnati,73.0,207.0,23
20170617,Jerry Ugokwe,OT,23185,William & Mary,79.0,321.0,23
20170195,Tanner Vallejo,LB,83725,Boise State,73.0,228.0,22
20170088,Eddie Vanderdoes,DT,90095,UCLA,75.0,305.0,22
20170567,Justin Vogel,P,33124,Miami (FL),76.0,219.0,23
20170051,DeMarcus Walker,DE,32306,Florida State,76.0,280.0,22
20170142,Carlos Watkins,DT,29631,Clemson,75.0,305.0,23
20170012,Deshaun Watson,QB,29631,Clemson,75.0,215.0,21
20170030,T.J. Watt,LB,53706,Wisconsin,76.0,252.0,22
20170087,Davis Webb,QB,94720,California,77.0,229.0,22
20170007,Mike Williams,WR,29631,Clemson,76.0,220.0,22
20180631,Josh Adams,RB,46556,Notre Dame,74.0,213.0,21
20180635,Ola Adeniyi,LB,43606,Toledo,73.0,248.0,20
20180098,Jordan Akins,TE,32816,Central Florida,75.0,237.0,26
20180018,Jaire Alexander,DB,40292,Louisville,71.0,192.0,21
20180644,Austin Allen,QB,72701,Arkansas,72.0,210.0,23
20180111,Brian Allen,C,48824,Michigan State,74.0,302.0,22
20180007,Josh Allen,QB,82071,Wyoming,77.0,240.0,21
20180148,Marcus Allen,S,16802,Penn State,74.0,202.0,21
20180086,Mark Andrews,TE,73019,Oklahoma,77.0,254.0,21
20180109,Troy Apke,S,16802,Penn State,73.0,206.0,23
20180116,Dorance Armstrong,DE,66045,Kansas,76.0,246.0,20
20180218,Ade Aruna,LB,70118,Tulane,78.0,229.0,24
20180228,Marcell Ateman,WR,74078,Oklahoma State,76.0,220.0,23
20180808,John Atkins,DT,30602,Georgia,76.0,320.0,25
20180118,Anthony Averett,DB,35487,Alabama,72.0,185.0,23
20180150,Genard Avery,LB,38152,Memphis,73.0,255.0,23
20180541,Mike Badgley,K,33124,Miami (FL),69.0,183.0,22
20180073,Jerome Baker,LB,43210,Ohio State,73.0,225.0,21
20180131,Kalen Ballage,RB,85287,Arizona State,75.0,220.0,22
20180002,Saquon Barkley,RB,16802,Penn State,71.0,233.0,21
20180617,J.T. Barrett,QB,43210,Ohio State,74.0,220.0,23
20180054,Jessie Bates,S,27106,Wake Forest,74.0,195.0,21
20180629,Marcus Baugh,TE,43210,Ohio State,76.0,247.0,23
20180237,Nick Bawden,RB,92115,San Diego State,75.0,245.0,21
20180534,Davin Bellamy,LB,30602,Georgia,77.0,245.0,23
20180418,Kurt Benkert,QB,22904,Virginia,76.0,215.0,22
20180210,Braxton Berrios,WR,33124,Miami (FL),69.0,183.0,22
20180217,Keishawn Bierria,LB,98195,Washington,73.0,223.0,22
20180666,Quin Blanding,S,22904,Virginia,74.0,207.0,22
20180158,Andrew Brown,DT,22904,Virginia,76.0,290.0,22
20180083,Orlando Brown,OT,73019,Oklahoma,70.0,345.0,22
20180567,Tony Brown,DB,35487,Alabama,72.0,198.0,22
20180029,Taven Bryan,DT,32611,Florida,76.0,291.0,22
20180088,Oren Burks,OLB,37240,Vanderbilt,75.0,230.0,23
20180659,Deontay Burnett,WR,90089,USC,72.0,186.0,20
20180835,Jason Cabinda,LB,16802,Penn State,73.0,243.0,22
20180185,Deon Cain,WR,29631,Clemson,73.0,210.0,21
20180105,Antonio Callaway,WR,32611,Florida,71.0,197.0,21
20180182,Chris Campbell,DB,16802,Penn State,73.0,194.0,22
20180191,Dylan Cantrell,WR,79415,Texas Tech,75.0,212.0,23
20180094,Alex Cappa,OG,95521,Humboldt State (CA),79.0,305.0,23
20180640,Tanner Carew,LS,97403,Oregon,73.0,245.0,22
20180167,Daniel Carlson,K,36849,Auburn,76.0,223.0,23
20180920,Darren Carrington,WR,84112,Utah,75.0,205.0,23
20180066,Lorenzo Carter,LB,30602,Georgia,78.0,243.0,22
20180749,Andre Chachere,DB,95192,San Jose State,72.0,200.0,22
20180623,Sean Chandler,DB,19122,Temple,71.0,205.0,22
20180061,D.J. Chark,WR,70803,Louisiana State,76.0,198.0,21
20180074,Geron Christian,OT,40292,Louisville,78.0,315.0,21
20180005,Bradley Chubb,DE,27607,NC State,76.0,275.0,21
20180035,Nick Chubb,RB,30602,Georgia,70.0,228.0,22
20180202,Jack Cichy,LB,53706,Wisconsin,74.0,234.0,21
20180245,Will Clapp,C,70803,Louisiana State,77.0,314.0,21
20180668,Simmie Cobbs,WR,47405,Indiana,75.0,220.0,22
20180097,Mason Cole,C,48109,Michigan,77.0,292.0,22
20180748,Lavon Coleman,RB,98195,Washington,71.0,235.0,23
20180157,Tyler Conklin,TE,48858,Central Michigan,76.0,240.0,22
20180033,Austin Corbett,OG,89557,Nevada,76.0,305.0,22
20180103,Keke Coutee,WR,79415,Texas Tech,71.0,180.0,21
20180193,Chris Covington,OLB,47405,Indiana,74.0,230.0,22
20180420,Justin Crawford,RB,26506,West Virginia,72.0,200.0,23
20180153,Tyrell Crosby,OG,97403,Oregon,77.0,310.0,22
20180152,Dane Cruikshank,S,85721,Arizona,73.0,204.0,23
20180751,Trevor Daniel,P,37998,Tennessee,73.0,225.0,23
20180039,James Daniels,C,52242,Iowa,76.0,295.0,20
20180003,Sam Darnold,QB,90089,USC,76.0,225.0,20
20180014,Marcus Davenport,DE,78249,UT-San Antonio,79.0,255.0,21
20180063,Carlton Davis,DB,36849,Auburn,73.0,203.0,21
20180056,Duke Dawson,DB,32611,Florida,70.0,208.0,21
20180550,Dee Delaney,DB,33124,Miami (FL),71.0,200.0,23
20180660,Nick DeLuca,LB,58102,North Dakota State,75.0,251.0,23
20180192,Jamil Demby,OG,4469,Maine,77.0,335.0,21
20180661,Matt Dickerson,DT,90095,UCLA,77.0,292.0,22
